vehicle_category,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
MEDIUM LOW,GF,202110,0.772438347601691,2021,3,0.578125,1.1228813559322033,1.2352941176470587,1.176470588235294,True
MEDIUM LOW,GF,202112,0.772438347601691,2021,3,0.578125,1.1228813559322033,1.2352941176470587,0.588235294117647,True
MEDIUM LOW,GF,202115,0.772438347601691,2021,4,0.578125,1.1228813559322033,2.1470588235294117,1.176470588235294,False
MEDIUM LOW,GF,202116,0.772438347601691,2021,4,0.578125,1.1228813559322033,0.9999999999999999,1.176470588235294,False
MEDIUM LOW,GG,202037,0.1834261797264023,2020,9,0.578125,0.7944915254237288,1.8823529411764706,0.588235294117647,True
MEDIUM LOW,GG,202039,0.1834261797264023,2020,9,0.578125,0.7944915254237287,1.9411764705882353,0.588235294117647,True
MEDIUM LOW,GG,202113,0.1834261797264023,2021,4,0.578125,0.7944915254237288,0.5294117647058824,0.588235294117647,False
MEDIUM LOW,GG,202117,0.1834261797264023,2021,4,0.578125,0.7944915254237289,1.2058823529411762,0.588235294117647,False
MEDIUM LOW,GH,202008,0.7747485967453784,2020,2,0.34375,0.826271186440678,0.2941176470588235,0.588235294117647,True
MEDIUM LOW,GH,202011,0.7747485967453784,2020,3,0.34375,0.826271186440678,0.41176470588235287,0.588235294117647,True
MEDIUM LOW,GH,202015,0.7747485967453784,2020,4,0.34375,0.826271186440678,0.41176470588235287,0.588235294117647,True
MEDIUM LOW,GH,202027,0.7747485967453784,2020,6,0.34375,0.826271186440678,0.23529411764705882,0.588235294117647,True
MEDIUM LOW,GH,202027,0.7747485967453784,2020,7,0.34375,0.826271186440678,0.47058823529411764,1.176470588235294,True
MEDIUM LOW,GH,202033,0.7747485967453784,2020,8,0.34375,0.826271186440678,1.4705882352941175,1.764705882352941,True
MEDIUM LOW,GH,202034,0.7747485967453784,2020,8,0.34375,0.826271186440678,0.5294117647058824,0.588235294117647,True
MEDIUM LOW,GH,202035,0.7747485967453784,2020,8,0.34375,0.826271186440678,0.7647058823529411,0.588235294117647,True
MEDIUM LOW,GH,202036,0.7747485967453784,2020,8,0.34375,0.826271186440678,0.588235294117647,0.588235294117647,True
MEDIUM LOW,GH,202038,0.7747485967453784,2020,9,0.34375,0.826271186440678,1.8823529411764706,1.176470588235294,True
MEDIUM LOW,GH,202039,0.7747485967453784,2020,9,0.34375,0.826271186440678,1.176470588235294,0.588235294117647,True
MEDIUM LOW,GH,202043,0.7747485967453784,2020,10,0.34375,0.826271186440678,0.1764705882352941,0.588235294117647,True
MEDIUM LOW,GH,202050,0.7747485967453784,2020,12,0.34375,0.826271186440678,0.41176470588235287,0.588235294117647,True
MEDIUM LOW,GH,202051,0.7747485967453784,2020,12,0.34375,0.826271186440678,2.411764705882353,1.764705882352941,True
MEDIUM LOW,GH,202103,0.7747485967453784,2021,1,0.34375,0.826271186440678,1.9411764705882353,1.176470588235294,True
MEDIUM LOW,GH,202105,0.7747485967453784,2021,2,0.34375,0.826271186440678,0.9411764705882353,0.588235294117647,True
MEDIUM LOW,GH,202106,0.7747485967453784,2021,2,0.34375,0.826271186440678,1.9999999999999998,1.176470588235294,True
MEDIUM LOW,GH,202110,0.7747485967453784,2021,3,0.34375,0.826271186440678,0.9411764705882353,0.588235294117647,True
MEDIUM LOW,AE,202004,0.3431332384455867,2020,1,0.015625,1.0169491525423728,1.6470588235294115,0.588235294117647,True
MEDIUM LOW,AE,202013,0.3431332384455867,2020,3,0.015625,1.0169491525423728,0.5294117647058822,0.588235294117647,True
MEDIUM LOW,AE,202016,0.3431332384455867,2020,4,0.015625,1.0169491525423728,0.23529411764705882,0.588235294117647,True
MEDIUM LOW,AE,202022,0.3431332384455867,2020,5,0.015625,1.0169491525423728,2.264705882352941,1.176470588235294,True
MEDIUM LOW,AE,202026,0.3431332384455867,2020,6,0.015625,1.0169491525423728,0.6470588235294118,1.176470588235294,True
MEDIUM LOW,AE,202028,0.3431332384455867,2020,7,0.015625,1.0169491525423728,0.9411764705882353,0.588235294117647,True
MEDIUM LOW,AE,202029,0.3431332384455867,2020,7,0.015625,1.0169491525423728,0.3529411764705882,0.588235294117647,True
MEDIUM LOW,AE,202030,0.3431332384455867,2020,7,0.015625,1.0169491525423728,0.2647058823529412,0.588235294117647,True
MEDIUM LOW,AE,202031,0.3431332384455867,2020,7,0.015625,1.0169491525423728,1.823529411764706,1.176470588235294,True
