vehicle_category,garage,reachable_population,year,week_of_year,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
LOW END,JI,2.0483589628797447,2020,27,1.0,1.0790425531914893,1.0555555555555556,1.1111111111111112,True
LOW END,JI,2.0483589628797447,2020,28,1.0,0.9591489361702128,1.3333333333333337,1.1111111111111112,True
LOW END,JI,2.0483589628797447,2020,29,1.0,0.9591489361702128,2.7222222222222228,1.6666666666666667,True
LOW END,JI,2.0483589628797447,2020,30,1.0,0.9591489361702128,0.9444444444444445,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,31,1.0,1.198936170212766,0.4444444444444445,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,32,1.0,0.9591489361702128,1.7222222222222225,1.1111111111111112,True
LOW END,JI,2.0483589628797447,2020,34,1.0,0.9591489361702128,1.0555555555555556,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,35,1.0,0.9591489361702128,0.7222222222222223,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,39,1.0,0.9591489361702128,0.8333333333333334,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,44,1.0,0.9591489361702128,0.7222222222222223,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,47,1.0,1.1989361702127659,0.44444444444444453,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,48,1.0,1.0790425531914896,1.388888888888889,1.1111111111111112,True
LOW END,JI,2.0483589628797447,2020,49,1.0,0.9591489361702128,0.8333333333333334,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,50,1.0,0.9591489361702128,0.6666666666666667,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,52,1.0,0.9591489361702128,0.7222222222222223,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2021,4,1.0,0.9591489361702128,1.0555555555555556,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2021,5,1.0,1.1989361702127659,0.5555555555555556,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2021,9,1.0,1.198936170212766,1.0555555555555556,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2021,10,1.0,0.9591489361702128,0.2777777777777778,0.5555555555555556,True
LOW END,JJ,0.8712300070532286,2020,18,1.015625,0.6914893617021277,0.2777777777777778,0.5555555555555556,True
LOW END,JJ,0.8712300070532286,2020,25,1.015625,0.6914893617021277,0.8888888888888891,0.5555555555555556,True
LOW END,JJ,0.8712300070532286,2020,29,1.015625,0.6914893617021277,1.1666666666666667,0.5555555555555556,True
LOW END,JJ,0.8712300070532286,2020,31,1.015625,0.6914893617021275,0.9444444444444446,0.5555555555555556,True
LOW END,JJ,0.8712300070532286,2020,32,1.015625,0.6914893617021277,0.9444444444444445,0.5555555555555556,True
LOW END,JJ,0.8712300070532286,2020,42,1.015625,0.6914893617021277,1.2222222222222225,0.5555555555555556,True
LOW END,JJ,0.8712300070532286,2020,50,1.015625,0.6914893617021277,1.1666666666666667,0.5555555555555556,True
LOW END,JJ,0.8712300070532286,2021,9,1.015625,0.6914893617021277,1.3333333333333335,0.5555555555555556,True
LOW END,JK,1.8259795329664528,2020,5,1.015625,0.8787234042553191,1.277777777777778,0.5555555555555556,True
LOW END,JK,1.8259795329664528,2020,25,1.015625,0.8787234042553191,0.8333333333333334,0.5555555555555556,True
LOW END,JL,0.7223857651486035,2020,5,0.5,0.8510638297872339,0.9444444444444446,0.5555555555555556,True
LOW END,JL,0.7223857651486035,2020,25,0.5,0.851063829787234,0.7222222222222223,0.5555555555555556,True
LOW END,JL,0.7223857651486035,2020,34,0.5,0.851063829787234,1.5000000000000002,0.5555555555555556,True
LOW END,JL,0.7223857651486035,2020,40,0.5,0.851063829787234,0.8888888888888891,0.5555555555555556,True
LOW END,JL,0.7223857651486035,2020,45,0.5,0.851063829787234,1.1111111111111112,0.5555555555555556,True
LOW END,JM,1.873096789725093,2020,11,1.015625,1.2712765957446808,0.6666666666666667,0.5555555555555556,True
LOW END,JN,1.7809740213117315,2020,2,1.03125,0.851063829787234,1.0000000000000002,0.5555555555555556,True
LOW END,JN,1.7809740213117315,2020,7,1.03125,0.851063829787234,1.2222222222222225,1.1111111111111112,True
LOW END,JN,1.7809740213117315,2020,12,1.03125,0.9574468085106383,0.8333333333333334,0.5555555555555556,True
